Episode #,Date,Title,Description,Link,Notes
489,"Mar 1, 2013","No Coincidence, No Story!","We asked listeners to send us their best coincidence stories, and we got more than 1,300 submissions! There were so many good ones we decided to make a whole show about them. From a chance encounter at a bus station to a romantic dollar bill to a baffling apparition in a college shower stall.",http://www.thisamericanlife.org/radio-archives/episode/489/no-coincidence-no-story,
488,"Feb 22, 2013","Harper High School, Part Two",We pick up where we left off last week in our second hour from Harper High School in Chicago. We find out if a shooting in the neighborhood will derail the school's Homecoming game and dance. We hear the origin story of one of Harper's gangs.,http://www.thisamericanlife.org/radio-archives/episode/488/harper-high-school-part-two,
487,"Feb 15, 2013","Harper High School, Part One","We spent five months at Harper High School in Chicago, where last year alone 29 current and recent students were shot. 29. We went to get a sense of what it means to live in the midst of all this gun violence, how teens and adults navigate a world of funerals and Homecoming dances.",http://www.thisamericanlife.org/radio-archives/episode/487/harper-high-school-part-one,
486,"Feb 8, 2013",Valentine's Day 2013,Love makes us do crazy things. But usually not this crazy. This week for Valentine's Day we have stories of people going to extremes to find and pursue their one true love.,http://www.thisamericanlife.org/radio-archives/episode/486/valentines-day-2013,
485,"Jan 25, 2013",Surrogates,This week we look at people who see themselves in others and try to live out their lives through stand-ins ? including the story of what one father saw in the convicted murderer he decided to adopt. And the proxy battle over a woman?s honor that became a presidential obsession.,http://www.thisamericanlife.org/radio-archives/episode/485/surrogates,
484,"Jan 11, 2013",Doppelg?ngers,"Calamari is on one side of the plate, sliced hog rectums are on the other. Which is which? We got a tip about a meat plant selling pig intestines as fake calamari, wondered if it could be true, and decided to investigate. Doppelgangers, doubles, evil twins and not-so-evil twins, this week. Fred Armisen co-hosts with Ira Glass.",http://www.thisamericanlife.org/radio-archives/episode/484/doppelgangers,
483,"Jan 4, 2013",Self-Improvement Kick,"A perfectly normal guy gets rid of everything he owns, changes his name, says goodbye to his friends ? and begins walking. In the name of peace. And Honduran government officials try to heal their corrupt country by starting a perfect city, from scratch. For the new year, we bring you stories about how far some people go in hopes of a better life.",http://www.thisamericanlife.org/radio-archives/episode/483/self-improvement-kick,
482,"Dec 21, 2012","Lights, Camera, Christmas!","This holiday season we bring you a show filled with stories of people going to great lengths to throw a special Christmas for their families. Including tales of Luna the guinea pig (pictured), Bambi the reindeer, and Jeko the super-powerful (and somewhat-scary) Christmas elf.",http://www.thisamericanlife.org/radio-archives/episode/482/lights-camera-christmas,
481,"Dec 7, 2012",This Week,"This week we take on ... this week. Stories united by one thing: They all happened in the seven days prior to broadcast. We try our hand reporting the global stories in Egypt and Afghanistan; and take on super local stories, too, like a man who tries valiantly ? valiantly! ? to actually get out of bed when his alarm clock goes off.",http://www.thisamericanlife.org/radio-archives/episode/481/this-week,
480,"Nov 30, 2012",Animal Sacrifice,"What animals sacrifice for us, and what we sacrifice for them. Including a story from Susan Orlean about dogs in World War II, and the This American Life staff confronts Ira about his dog, Piney. Photo: Dog wearing suicide bomb vest, 1943.",http://www.thisamericanlife.org/radio-archives/episode/480/animal-sacrifice,
479,"Nov 23, 2012",Little War on the Prairie,"Growing up in Mankato, Minnesota, John Biewen says, nobody ever talked about the most important historical event ever to happen there: in 1862, it was the site of the largest mass execution in U.S. history. Thirty-eight Dakota Indians were hanged after a war with white settlers.",http://www.thisamericanlife.org/radio-archives/episode/479/little-war-on-the-prairie,
478,"Nov 2, 2012",Red State Blue State,"Everyone knows that politics is now so divided in our country that not only do the 2 sides disagree on the solutions to the country?s problems, they don?t even agree on what the problems are. It?s 2 versions of the world in collision. This week we hear from people who?ve seen this infect their personal lives. They?ve lost friends.",http://www.thisamericanlife.org/radio-archives/episode/478/red-state-blue-state,
477,"Oct 19, 2012",Getting Away With It,"Stories of people breaking the rules fully, completely and with no bad consequences. Some justify this by saying they?re doing it for others, or for a greater good. Some really don?t care. And, unlike the mealy weaklings you usually hear on this program: None of these wrongdoers seem regretful about what they?ve done in the slightest.",http://www.thisamericanlife.org/radio-archives/episode/477/getting-away-with-it,
476,"Oct 5, 2012",What Doesn't Kill You,"Stories of how people cope after brushes with death. Sometimes death comes as a disease. Sometimes it swims up and bites you. And sometimes it's a pen or pencil, sitting there, just waiting for you to ingest it. Tig Notaro's comedy set is at Louis CK's site.",http://www.thisamericanlife.org/radio-archives/episode/476/what-doesnt-kill-you,
475,"Sep 28, 2012",Send a Message,"This week people reach out in all kinds of ways to try to get their point across. And the recipients of those messages try to decipher what they mean. Messages in code, over the phone, and from beyond the grave.",http://www.thisamericanlife.org/radio-archives/episode/475/send-a-message,
474,"Sep 14, 2012",Back to School,"As kids and teachers head back to school, we wanted to turn away from questions about politics and unions and money and all the regular school stuff people argue about, and turn to something more optimistic ? an emerging theory about what to teach kids, from Paul Tough's new book",http://www.thisamericanlife.org/radio-archives/episode/474/back-to-school,
473,"Aug 24, 2012",Loopholes,"Only the clever need apply. This week, stories of people acting on a technicality in the face of some of life's toughest regulators: financial regulators, parents and God.",http://www.thisamericanlife.org/radio-archives/episode/473/loopholes,
472,"Aug 17, 2012",Our Friend David,Favorite stories by our longtime contributor and friend David Rakoff. Note that the podcast and streaming versions contain unbeeped words that could not play on radio.,http://www.thisamericanlife.org/radio-archives/episode/472/our-friend-david,
471,"Aug 10, 2012",The Convert,"In 2006, a new convert showed up at a mosque in Orange County, California, eager to study the Koran and make new friends. But when he started acting odd and saying strange things, those friends got suspicious. To them, he was Farouk al-Aziz. But his real name was Craig Monteilh, and he was working undercover for the FBI.",http://www.thisamericanlife.org/radio-archives/episode/471/the-convert,
470,"Jul 27, 2012",Show Me The Way,"Stories about people in trouble, who look for help in mystifying places. A 15-year-old boy travels more than 1,000 miles, alone, to seek out his hero, whom he's never met.",http://www.thisamericanlife.org/radio-archives/episode/470/show-me-the-way,
469,"Jul 13, 2012",Hiding in Plain Sight,"Sometimes when something is happening right under your nose, it becomes even harder to notice than if it were happening in secret. Stories of people of using that to their advantage, including one man who takes down some of the most powerful criminals in the world.",http://www.thisamericanlife.org/radio-archives/episode/469/hiding-in-plain-sight,
468,"Jun 29, 2012",Switcheroo,"People pretending to be people they're not: sometimes it's harmless, sometimes it's harmful and sometimes it's hard to tell. From world-famous artists to mail-order brides to a practice that could change the face of American journalism.",http://www.thisamericanlife.org/radio-archives/episode/468/switcheroo,
467,"Jun 22, 2012",Americans in China,"It used to be that the American expats in China were the big shots. They had the money, the status, the know-how. But that's changed. What's it like to be an American living in China now? And what do they understand about China that we don't?",http://www.thisamericanlife.org/radio-archives/episode/467/americans-in-china,
466,"Jun 8, 2012",Blackjack,"Stories about the casino game everyone thinks they can beat. In one, a woman gambles away her inheritance and then sues the casino, saying they're to blame. In another, Christians join forces to take down casinos ? by becoming professional card-counting blackjack players. Plus: MIT Blackjack Team member Andy Bloch teaches us to count cards.",http://www.thisamericanlife.org/radio-archives/episode/466/blackjack,
465,"May 25, 2012",What Happened At Dos Erres,"In 1982, the Guatemalan military massacred the villagers of Dos Erres, killing more than 200 people. Thirty years later, a Guatemalan living in the US got a phone call from a woman who told him that two boys had been abducted during the massacre -- and he was one of them.",http://www.thisamericanlife.org/radio-archives/episode/465/what-happened-at-dos-erres,
464,"May 18, 2012",Invisible Made Visible,"The radio version of an episode we did live on stage and beamed to movie theaters all over the country. David Sedaris, Tig Notaro and Ryan Knighton perform stories. Plus the late David Rakoff, in his final performance on the show.",http://www.thisamericanlife.org/radio-archives/episode/464/invisible-made-visible,
463,"Apr 27, 2012",Mortal Vs. Venial,"Religion makes it pretty clear what differentiates mortal sins from venial ones. Mortal are the really bad sins and venial the lesser ones. But in our everyday lives, it can be really difficult to determine just how bad we've been. This week we have stories of people trying to figure out that question.",http://www.thisamericanlife.org/radio-archives/episode/463/mortal-vs-venial,
462,"Apr 13, 2012",Own Worst Enemy,Stories of people who can?t seem to stop getting in their own way ? sabotaging everything from their romantic relationships to their physical health. Featuring a new radio drama by Jonathan Mitchell.,http://www.thisamericanlife.org/radio-archives/episode/462/own-worst-enemy,
461,"Mar 30, 2012",Take the Money and Run for Office,"For anyone who has ever heard the term ""Washington insider"" and felt outside ? we are with you. So this week, we go inside the rooms where the deals get made, to the actual moment that the checks change hands ? and we ask the people writing and receiving the checks what, exactly, is the money buying?",http://www.thisamericanlife.org/radio-archives/episode/461/take-the-money-and-run-for-office,
460,"Mar 16, 2012",Retraction,"We've discovered that one of our most popular episodes contained numerous fabrications. This week, we detail the errors in Mike Daisey's story about visiting Foxconn, which makes iPads and other products for Apple in China. Marketplace's China correspondent Rob Schmitz discovered the fabrications. Transcript. Press Release.",http://www.thisamericanlife.org/radio-archives/episode/460/retraction,
459,"Mar 2, 2012",What Kind of Country,"All across the country right now, local and state governments are finding they can't pay their bills. Schools are losing teachers, street lights are going dark, garbage is piling up in public parks, and cops are suddenly an optional expense.",http://www.thisamericanlife.org/radio-archives/episode/459/what-kind-of-country,
458,"Feb 17, 2012",Play the Part,"Stories of people who decide to flip their personalities and do the exact opposite of what they normally do. Pictured: Louis Ortiz, Obama impersonator. He is the subject of the documentary film The Audacity of Louis Ortiz.",http://www.thisamericanlife.org/radio-archives/episode/458/play-the-part,
457,"Feb 10, 2012",What I Did For Love,"Love makes us do crazy things. But not this crazy. This week for Valentine's Day we have stories of people going to extremes as they fall in love, chase love down, and try to make sense of it?including a teenager who falls for an undercover cop, and epic tales of snooping.",http://www.thisamericanlife.org/radio-archives/episode/457/what-i-did-for-love,
456,"Jan 27, 2012",Reap What You Sow,"Alabama's new immigration law aims to make life so difficult for illegal immigrants that they will ""self-deport."" And in a way it's working. Immigrants are fleeing Alabama...but not just the undocumented ones. This and other stories of people living with the unintended consequences of their decisions.",http://www.thisamericanlife.org/radio-archives/episode/456/reap-what-you-sow,
455,"Jan 20, 2012",Continental Breakup,"If you're like us, when the words ""European debt crisis"" pop up in the news you feel a little worried, and a little like taking a nap. Turns out, there's a story behind this story. One that's filled with guilt, and drama, and betrayal, and 100-year-old dreams come true. Alex Blumberg of Planet Money guest hosts.",http://www.thisamericanlife.org/radio-archives/episode/455/continental-breakup,
454,"Jan 6, 2012",Mr. Daisey and the Apple Factory,NOTE: This American Life has retracted this story because we learned that many of Mike Daisey's experiences in China were fabricated.,http://www.thisamericanlife.org/radio-archives/episode/454/mr-daisey-and-the-apple-factory,
453,"Dec 16, 2011",Nemeses,"This week, stories where a longtime standoff keeps both sides coming back for more. Including a story about the time in Poland's recent history where the country's two political blocks came together and believed, however briefly, they'd be able to set aside their differences. And another story about a college rivalry gone viral, and personal.",http://www.thisamericanlife.org/radio-archives/episode/453/nemeses,
452,"Dec 2, 2011",Poultry Slam 2011,"We bring you our sort-of-annual holiday tradition: The Poultry Slam! Stories of what happens when humans and fowl collide, including the tale of one notorious turkey who unleashed a long reign of terror on an unsuspecting neighborhood.",http://www.thisamericanlife.org/radio-archives/episode/452/poultry-slam-2011,
451,"Nov 18, 2011",Back to Penn State,"In the wake of the recent news, listeners have contacted us and tweeted about the show we did two years ago at Penn State, #1 Party School.",http://www.thisamericanlife.org/radio-archives/episode/451/back-to-penn-state,
450,"Nov 11, 2011",So Crazy It Just Might Work,"A few years ago a cancer researcher named Jonathan Brody gave a speech at his alma mater saying that people in his field really needed to think outside the box to find a cure. Afterward he was approached by his old orchestra teacher, who had something way out of the box?a theory that he could kill cancer cells with electromagnetic waves.",http://www.thisamericanlife.org/radio-archives/episode/450/so-crazy-it-just-might-work,
449,"Oct 28, 2011",Middle School,"This week, at the suggestion of a 14-year-old listener, we bring you stories from the awkward, confusing, hormonally charged world of middle school. Including a teacher who transforms peer pressure into a force for good, and reports from the frontlines of the middle school dance.",http://www.thisamericanlife.org/radio-archives/episode/449/middle-school,
448,"Oct 7, 2011",Adventure!,"Sometimes you choose the adventure and sometimes the adventure chooses you. This week, stories that pinpoint when people's boring old lives turn into something wildly unfamiliar. Including a story of one young man's time served in a Chinese prison, and a handful of adventure stories from some of our favorite writers.",http://www.thisamericanlife.org/radio-archives/episode/448/adventure,
447,"Sep 23, 2011",The Incredible Case of the P.I. Moms,"What do you get when you take a P.I. firm, then add in a bunch of sexy soccer moms, official sponsorship from Glock, a lying boss, and delusions of grandeur? This week's show.",http://www.thisamericanlife.org/radio-archives/episode/447/the-incredible-case-of-the-pi-moms,
446,"Sep 16, 2011",Living Without (2011),"Stories of people living without. Nubar Alexanian explains what fish can do for him that his own ears cannot. Bobby Morris, on leaving baseball. And other stories.",http://www.thisamericanlife.org/radio-archives/episode/446/living-without-2011,
445,"Sep 9, 2011",Ten Years In,"In this show, we return to people who've been on This American Life in the last ten years, whose lives were drastically altered by 9/11, including Hyder Akbar, an Afghan-American teen who moved to Afghanistan after his father was tapped to become governor of Kunar province there.",http://www.thisamericanlife.org/radio-archives/episode/445/ten-years-in,
444,"Aug 26, 2011",Gossip,"This week, Sarah Koenig hosts, as we tackle the thing we all hate to love: Gossip. That's right; we've got rumor, we've got innuendo, and we've got a story of gossipers gone pro. Sarah even makes a compelling case that in some places, gossip could very well be saving lives. But you didn't hear it from us.",http://www.thisamericanlife.org/radio-archives/episode/444/gossip,
443,"Aug 12, 2011",Amusement Park,"We head to some of the happiest places on Earth: Amusement Parks! Jonathan Goldstein revisits one he worked at as a teen, Ira takes us behind the scenes at Worlds of Fun in Kansas City, where the staff so loves their jobs they make music videos and other videos.",http://www.thisamericanlife.org/radio-archives/episode/443/amusement-park,
442,"Jul 29, 2011",Thugs,"Like a lot of Mexican towns, Florencia has had its share of problems dealing with drug gangs. That is until recently, when new narcos rolled into town telling residents that they were there to liberate them. They promised that people would live in peace and tranquility. And so far, it's working.",http://www.thisamericanlife.org/radio-archives/episode/442/thugs,
441,"Jul 22, 2011",When Patents Attack!,"Why would a company rent an office in a tiny town in East Texas, put a nameplate on the door, and leave it completely empty for a year? The answer involves a controversial billionaire physicist in Seattle, a 40 pound cookbook, and a war waging right now, all across the software and tech industries.",http://www.thisamericanlife.org/radio-archives/episode/441/when-patents-attack,
440,"Jul 8, 2011",Game Changer,"A professor in Pennsylvania makes a calculation, to discover that his state is sitting atop a massive reserve of natural gas?enough to revolutionize how America gets its energy.",http://www.thisamericanlife.org/radio-archives/episode/440/game-changer,
439,"Jun 24, 2011",A House Divided,"Stories about people who find themselves either unexpectedly being singled out or doing the singling out. Including one story about nine public officials whose constituents are trying to throw them out of office, and another story about a man's very physical battle with himself.",http://www.thisamericanlife.org/radio-archives/episode/439/a-house-divided,
438,"Jun 17, 2011",Father's Day 2011,"Yes yes yes you've heard it all before, when it comes to stories of fathers and their children. There's the story of the kid who idolizes his dad, but then learns something and becomes disappointed. Or the opposite story, where the kid gives up on his dad when he's still young, and then much later comes to have a grudging respect.",http://www.thisamericanlife.org/radio-archives/episode/438/fathers-day-2011,
437,"Jun 3, 2011",Old Boys Network,"Stories about standing up to the man?or, really, the men. Nurses at a small Texas hospital report a well-connected doctor for dangerous medical practices, and find themselves under arrest. Plus...how political operators in Chicago get to be judges.",http://www.thisamericanlife.org/radio-archives/episode/437/old-boys-network,
436,"May 27, 2011",The Psychopath Test,"Recently we heard about this test that could determine if someone was a psychopath. So, naturally, our staff decided to take it. This week we hear the results. Plus Jon Ronson asks the question: is this man a psychopath?",http://www.thisamericanlife.org/radio-archives/episode/436/the-psychopath-test,
435,"May 13, 2011",How To Create a Job,It seems like every politician has a plan for putting people back to work. But we and the Planet Money team couldn?t help but wonder?how do you create a job? Can politicians truly create many jobs? Is it possible the whole thing is just well-intentioned hot air?,http://www.thisamericanlife.org/radio-archives/episode/435/how-to-create-a-job,
434,"May 6, 2011",This Week,"This week we're trying something we've never tried before: An hour of stories about...this week. We take a crack at major news events, like what's happening in Egypt; and at the most minor, like an 8-year-old who's finally taking the training wheels off her bike.",http://www.thisamericanlife.org/radio-archives/episode/434/this-week,
433,"Apr 15, 2011",Fine Print 2011,"Stories where the fine print changes everything, whether you read it or not.",http://www.thisamericanlife.org/radio-archives/episode/433/fine-print-2011,
432,"Apr 8, 2011",Know When To Fold 'Em,"When is it time to walk away, and when is it time to run? This week we have the story of an entire country deciding whether to give up on just one of its citizens, when to hold 'em in order to win nearly a million dollars in poker, and a new story from Dave Dickerson.",http://www.thisamericanlife.org/radio-archives/episode/432/know-when-to-fold-em,
431,"Apr 1, 2011",See No Evil,"When things are awkward or uncomfortable or distressing, a lot of times it's easier to not think about it. This week we have stories of people pretending that everything is okay and ignoring the awful stuff that's staring them straight in the face. Including a story of deceit and intrigue involving commemorative spoons from the Kennedy Center.",http://www.thisamericanlife.org/radio-archives/episode/431/see-no-evil,
430,"Mar 25, 2011",Very Tough Love,"This week: A drug court program that we believe is run differently from every other drug court in the country, doing some things that are contrary to the very philosophy of drug court. The result? People with offenses that would get minimal or no sentences elsewhere sometimes end up in the system five to ten years. (Transcript.)",http://www.thisamericanlife.org/radio-archives/episode/430/very-tough-love,
429,"Mar 11, 2011",Will They Know Me Back Home?,"Stories of people who've grown so accustomed to wartime that the lives they've left behind no longer make sense. Including a US battalion going home on leave after 15 months of deployment, and an Iraqi translator's story of life after the gig is up.",http://www.thisamericanlife.org/radio-archives/episode/429/will-they-know-me-back-home,
428,"Mar 4, 2011",Oh You Shouldn't Have,"Stories about the perils of giving and receiving gifts: Ones that go over spectacularly well in spite of being in poor taste, and ones that flop even with the best intentions. Including what happens when?surprise!?your whole past gets laid out for a live TV audience.",http://www.thisamericanlife.org/radio-archives/episode/428/oh-you-shouldnt-have,
427,"Feb 11, 2011",Original Recipe,"The formula for Coca-Cola is one of the most jealously guarded trade secrets in the world. Locked in a vault in Atlanta. Supposedly unreplicable. But we think we may have found the original recipe. And to see if the formula actually might be Coke, we made a batch.",http://www.thisamericanlife.org/radio-archives/episode/427/original-recipe,
426,"Feb 4, 2011",Tough Room 2011,"This week we bring you backstage with comedy writers at The Onion. They start with over 600 potential headlines for their fake-news newspaper each week, and over the course of two days, in the very tough room that is their editorial conference room, they select 16 to go in the paper. Plus other people speaking their minds in very tough rooms.",http://www.thisamericanlife.org/radio-archives/episode/426/tough-room-2011,
425,"Jan 21, 2011",Slow To React,"This week we have stories where people's reactions move very slowly, including the story of a wedding 17 years in the making, and what it's like when you have a terminal illness that's supposed to kill you in a year or two, and it decides to take its time.",http://www.thisamericanlife.org/radio-archives/episode/425/slow-to-react,
424,"Jan 14, 2011",Kid Politics,"What if, say, the U.S.-led invasion of Grenada in 1983 had been decided, not by Ronald Reagan, but by a bunch of middle-schoolers? And what if every rule at your high school had been determined, not by teachers and administrators, but entirely by teenagers?",http://www.thisamericanlife.org/radio-archives/episode/424/kid-politics,
423,"Jan 7, 2011",The Invention of Money,Five reporters stumbled on what seems like a basic question: What is money? The unsettling answer they found: Money is fiction. Photo: Stone money on the island of Yap.,http://www.thisamericanlife.org/radio-archives/episode/423/the-invention-of-money,
422,"Dec 17, 2010",Comedians of Christmas Comedy Special,"The holidays are stressful so we booked a seasonal pick-me-up: an hour of comedy. Including comedians Wyatt Cenac, Mike Birbiglia, Julian McCullough, Jenny Slate, Gabe Liedman and Edith Zimmerman. Musical guests: Dave Hill and Doug Gillard.",http://www.thisamericanlife.org/radio-archives/episode/422/comedians-of-christmas-comedy-special,
421,"Dec 3, 2010",Last Man Standing,"Is it stubbornness? Tenacity? Survival of the fittest? This week, stories about people who feel compelled to keep going, especially when everyone else has given up.",http://www.thisamericanlife.org/radio-archives/episode/421/last-man-standing,
420,"Nov 19, 2010",Neighborhood Watch,"It?s amazing just how much drama can take place in the mini-universe of a neighborhood. This week we bring you stories of neighbors watching out for each other, for better and worse, including a story from CBC's WireTap.",http://www.thisamericanlife.org/radio-archives/episode/420/neighborhood-watch,
419,"Nov 12, 2010",Petty Tyrant,"In Schenectady, NY, a school maintenance man named Steve Raucci works his way up the ranks for 30 years, until finally he's in charge of the maintenance department. That's when he starts messing with his employees. Teasing them at meetings. Punishing them with crummy work assignments.",http://www.thisamericanlife.org/radio-archives/episode/419/petty-tyrant,
418,"Nov 5, 2010",Toxie,"In January 2010, reporters from Planet Money bought a toxic asset?you know, the things that blew up wall street banks, sank the economy and brought the global financial system to a halt?one of those. And ""Toxie"" turned out to be an encyclopedia of the financial crisis. Here's an animation about Toxie.",http://www.thisamericanlife.org/radio-archives/episode/418/toxie,
417,"Oct 29, 2010",This Party Sucks,"A show for this year's midterm elections. Two best friends in Michigan, both political novices, get tired of yelling at their TVs and take matters into their own hands. They form a Tea Party chapter to effect political change.",http://www.thisamericanlife.org/radio-archives/episode/417/this-party-sucks,
416,"Oct 15, 2010",Iraq After Us,"Operation Iraqi Freedom is over. And the next chapter of Iraq is being written now. But what actually happened there the last seven years? Producer Nancy Updike and reporter Larry Kaplow spent a month in Iraq talking to Iraqis and Americans about the war that tore the country apart, and what's happening as we try to put it back together.",http://www.thisamericanlife.org/radio-archives/episode/416/iraq-after-us,
415,"Sep 24, 2010",Crybabies,"Crybabies are annoying. They whine, they complain, sometimes they ruin it for the rest of us. But being a crybaby can be a really effective tactic. We have stories of crybabies in sports, in politics, on Wall Street, on the streets of California, including a new story by David Sedaris.",http://www.thisamericanlife.org/radio-archives/episode/415/crybabies,
414,"Sep 10, 2010",Right to Remain Silent,"Stories about people who have the right to remain silent... but choose not to exercise that right?including police officer Adrian Schoolcraft, who secretly recorded his supervisors telling officers to manipulate crime statistics and make illegal arrests.",http://www.thisamericanlife.org/radio-archives/episode/414/right-to-remain-silent,
413,"Jul 30, 2010",Georgia Rambler,"In the 1970s a reporter named Charles Salter wrote a column for the Atlanta Journal called ""Georgia Rambler."" He'd get into his car, head out to some small town, and ask around until he found a story. This week, nine of us go to Georgia to try it out for ourselves, in small towns all over the state.",http://www.thisamericanlife.org/radio-archives/episode/413/georgia-rambler,
412,"Jul 16, 2010",Million Dollar Idea,"Back in the 1980s Michael Larson made the most money ever on the game show Press Your Luck. And it was no accident?Larson had a plan to get rich that surprised everyone: The home viewers, the show's producers and mostly Larson himself.",http://www.thisamericanlife.org/radio-archives/episode/412/million-dollar-idea,
411,"Jun 25, 2010",First Contact,"Stories of first encounters with unknown and distant beings: Girls, foreigners and perhaps even aliens. Including a story by comedian Mike Birbiglia about his first kiss.",http://www.thisamericanlife.org/radio-archives/episode/411/first-contact,
410,"Jun 18, 2010",Social Contract,"Richard Ravitch has helped fix three governmental crises, including when New York City nearly went bankrupt in 1975. What's changed, to make it so much harder for him to solve the state's current financial crisis? (Photo: stress balls in the state budget office.)",http://www.thisamericanlife.org/radio-archives/episode/410/social-contract,
409,"Jun 4, 2010",Held Hostage,"A kidnapping victim in Colombia spends his nights listening to a radio station that plays messages from the families of the kidnapped. That and other stories of people held captive?by criminals, by paperwork, and in one man's case, his own body?and the ways they try to cope.",http://www.thisamericanlife.org/radio-archives/episode/409/held-hostage,
408,"May 21, 2010",Island Time,"Unprecedented amounts of money have been pledged to Haitian relief in the last few months. American households have given over $1 billion and in March, 120 countries pledged over $9 billion(!) to rebuild. The only problem is that?historically?blanketing a country in aid and money has never really worked so well.",http://www.thisamericanlife.org/radio-archives/episode/408/island-time,
407,"May 7, 2010",The Bridge,"We bring you stories of bridges from three different countries, including one in China that's famous for its massive size and its high suicide rate. One takes it upon himself to patrol the bridge, looking for jumpers. You can read entries from the watchman's blog here.",http://www.thisamericanlife.org/radio-archives/episode/407/the-bridge,
406,"Apr 23, 2010",True Urban Legends,Can a rat crawl through your plumbing and end up in your toilet? Can your cell phone give you a brain tumor? Download a transcript or read much more information about our Steve Poizner story. Christopher Ketcham's GQ cell article is here.,http://www.thisamericanlife.org/radio-archives/episode/406/true-urban-legends,
405,"Apr 9, 2010",Inside Job,"For seven months a team of investigative journalists from ProPublica looked into a story for us, the inside story of one company that made hundreds of millions of dollars for itself while worsening the financial crisis for the rest of us.",http://www.thisamericanlife.org/radio-archives/episode/405/inside-job,
404,"Apr 2, 2010",Enemy Camp 2010,"Living behind enemy lines, among the enemy, it's sometimes hard to remember why you're fighting in the first place.",http://www.thisamericanlife.org/radio-archives/episode/404/enemy-camp-2010,
403,"Mar 26, 2010",NUMMI,"A car plant in Fremont California that might have saved the U.S. car industry. In 1984, General Motors and Toyota opened NUMMI as a joint venture. Toyota showed GM the secrets of its production system: How it made cars of much higher quality and much lower cost than GM achieved.",http://www.thisamericanlife.org/radio-archives/episode/403/nummi,
402,"Mar 12, 2010",Save the Day,"Stories about one person single-handedly taking charge of a situation gone wrong?including one man's mission to rescue two kids who were kidnapped by alleged murderers and taken to Mexico, and another about a professor's mission to keep the educators of a liberal arts college from extinction.",http://www.thisamericanlife.org/radio-archives/episode/402/save-the-day,
401,"Feb 19, 2010",Parent Trap,"Stories about parents setting accidental traps for their children, and sometimes for themselves, including a story from WNYC's Radiolab about a chimp raised twice?once as a human child, and again as a chimp.",http://www.thisamericanlife.org/radio-archives/episode/401/parent-trap,
